"id","api_game_id","date","home_team_id","home_team_alias","home_points","away_team_id","away_team_alias","away_points","createdAt","updatedAt"
19,,"2017-10-20T23:00:00+00:00","583ec87d-fb46-11e1-82cb-f4ce4684ea4c","PHI",92,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",102,"2018-06-05 06:07:36.755-04","2018-06-05 06:07:36.755-04"
51,,"2017-10-24T23:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",110,"583ec70e-fb46-11e1-82cb-f4ce4684ea4c","NYK",89,"2018-06-05 06:07:36.759-04","2018-06-05 06:07:36.759-04"
109,,"2017-11-01T23:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",113,"583ed0ac-fb46-11e1-82cb-f4ce4684ea4c","SAC",86,"2018-06-05 06:07:36.768-04","2018-06-05 06:07:36.768-04"
161,,"2017-11-09T01:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",107,"583ecae2-fb46-11e1-82cb-f4ce4684ea4c","LAL",96,"2018-06-05 06:07:36.776-04","2018-06-05 06:07:36.776-04"
129,,"2017-11-04T01:30:00+00:00","583ecfff-fb46-11e1-82cb-f4ce4684ea4c","OKC",94,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",101,"2018-06-05 06:07:36.771-04","2018-06-05 06:07:36.771-04"
139,,"2017-11-05T23:00:00+00:00","583ed157-fb46-11e1-82cb-f4ce4684ea4c","ORL",88,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",104,"2018-06-05 06:07:36.772-04","2018-06-05 06:07:36.772-04"
201,,"2017-11-15T00:30:00+00:00","583ec9d6-fb46-11e1-82cb-f4ce4684ea4c","BKN",102,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",109,"2018-06-05 06:07:36.784-04","2018-06-05 06:07:36.784-04"
215,,"2017-11-17T01:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",92,"583ec825-fb46-11e1-82cb-f4ce4684ea4c","GSW",88,"2018-06-05 06:07:36.787-04","2018-06-05 06:07:36.787-04"
231,,"2017-11-19T00:30:00+00:00","583ecb8f-fb46-11e1-82cb-f4ce4684ea4c","ATL",99,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",110,"2018-06-05 06:07:36.789-04","2018-06-05 06:07:36.789-04"
250,,"2017-11-21T01:30:00+00:00","583ecf50-fb46-11e1-82cb-f4ce4684ea4c","DAL",102,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",110,"2018-06-05 06:07:36.791-04","2018-06-05 06:07:36.791-04"
257,,"2017-11-23T00:30:00+00:00","583ecea6-fb46-11e1-82cb-f4ce4684ea4c","MIA",104,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",98,"2018-06-05 06:07:36.791-04","2018-06-05 06:07:36.791-04"
342,,"2017-12-05T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",111,"583ecefd-fb46-11e1-82cb-f4ce4684ea4c","MIL",100,"2018-06-05 06:07:36.803-04","2018-06-05 06:07:36.803-04"
374,,"2017-12-09T02:30:00+00:00","583ecd4f-fb46-11e1-82cb-f4ce4684ea4c","SAS",105,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",102,"2018-06-05 06:07:36.806-04","2018-06-05 06:07:36.806-04"
423,,"2017-12-16T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",95,"583ece50-fb46-11e1-82cb-f4ce4684ea4c","UTA",107,"2018-06-05 06:07:36.812-04","2018-06-05 06:07:36.812-04"
436,,"2017-12-17T02:00:00+00:00","583eca88-fb46-11e1-82cb-f4ce4684ea4c","MEM",93,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",102,"2018-06-05 06:07:36.814-04","2018-06-05 06:07:36.814-04"
441,,"2017-12-19T00:00:00+00:00","583ec7cd-fb46-11e1-82cb-f4ce4684ea4c","IND",111,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",112,"2018-06-05 06:07:36.814-04","2018-06-05 06:07:36.814-04"
268,,"2017-11-25T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",118,"583ed157-fb46-11e1-82cb-f4ce4684ea4c","ORL",103,"2018-06-05 06:07:36.793-04","2018-06-05 06:07:36.793-04"
326,,"2017-12-02T18:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",116,"583ecfa8-fb46-11e1-82cb-f4ce4684ea4c","PHX",111,"2018-06-05 06:07:36.799-04","2018-06-05 06:07:36.799-04"
356,,"2017-12-07T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",97,"583ecf50-fb46-11e1-82cb-f4ce4684ea4c","DAL",90,"2018-06-05 06:07:36.804-04","2018-06-05 06:07:36.804-04"
7,,"2017-10-18T23:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",100,"583ecefd-fb46-11e1-82cb-f4ce4684ea4c","MIL",108,"2018-06-05 06:07:36.754-04","2018-06-05 06:07:36.754-04"
67,,"2017-10-27T00:00:00+00:00","583ecefd-fb46-11e1-82cb-f4ce4684ea4c","MIL",89,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",96,"2018-06-05 06:07:36.761-04","2018-06-05 06:07:36.761-04"
93,,"2017-10-30T23:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",108,"583ecd4f-fb46-11e1-82cb-f4ce4684ea4c","SAS",94,"2018-06-05 06:07:36.764-04","2018-06-05 06:07:36.764-04"
146,,"2017-11-07T00:30:00+00:00","583ecb8f-fb46-11e1-82cb-f4ce4684ea4c","ATL",107,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",110,"2018-06-05 06:07:36.773-04","2018-06-05 06:07:36.773-04"
170,,"2017-11-11T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",90,"583ec97e-fb46-11e1-82cb-f4ce4684ea4c","CHA",87,"2018-06-05 06:07:36.777-04","2018-06-05 06:07:36.777-04"
282,,"2017-11-26T01:00:00+00:00","583ec7cd-fb46-11e1-82cb-f4ce4684ea4c","IND",98,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",108,"2018-06-05 06:07:36.794-04","2018-06-05 06:07:36.794-04"
293,,"2017-11-28T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",108,"583ec928-fb46-11e1-82cb-f4ce4684ea4c","DET",118,"2018-06-05 06:07:36.795-04","2018-06-05 06:07:36.795-04"
314,,"2017-12-01T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",108,"583ec87d-fb46-11e1-82cb-f4ce4684ea4c","PHI",97,"2018-06-05 06:07:36.798-04","2018-06-05 06:07:36.798-04"
386,,"2017-12-10T21:00:00+00:00","583ec928-fb46-11e1-82cb-f4ce4684ea4c","DET",81,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",91,"2018-06-05 06:07:36.807-04","2018-06-05 06:07:36.807-04"
507,,"2017-12-28T00:00:00+00:00","583ec97e-fb46-11e1-82cb-f4ce4684ea4c","CHA",91,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",102,"2018-06-05 06:07:36.825-04","2018-06-05 06:07:36.825-04"
539,,"2017-12-31T22:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",108,"583ec9d6-fb46-11e1-82cb-f4ce4684ea4c","BKN",105,"2018-06-05 06:07:36.827-04","2018-06-05 06:07:36.827-04"
393,,"2017-12-12T01:00:00+00:00","583ec5fd-fb46-11e1-82cb-f4ce4684ea4c","CHI",108,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",85,"2018-06-05 06:07:36.807-04","2018-06-05 06:07:36.807-04"
408,,"2017-12-14T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",124,"583ed102-fb46-11e1-82cb-f4ce4684ea4c","DEN",118,"2018-06-05 06:07:36.809-04","2018-06-05 06:07:36.809-04"
455,,"2017-12-21T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",89,"583ecea6-fb46-11e1-82cb-f4ce4684ea4c","MIA",90,"2018-06-05 06:07:36.815-04","2018-06-05 06:07:36.815-04"
485,,"2017-12-24T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",117,"583ec5fd-fb46-11e1-82cb-f4ce4684ea4c","CHI",92,"2018-06-05 06:07:36.823-04","2018-06-05 06:07:36.823-04"
568,,"2018-01-06T00:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",91,"583eca2f-fb46-11e1-82cb-f4ce4684ea4c","MIN",84,"2018-06-05 06:07:36.831-04","2018-06-05 06:07:36.831-04"
495,,"2017-12-25T22:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",103,"583ec8d4-fb46-11e1-82cb-f4ce4684ea4c","WAS",111,"2018-06-05 06:07:36.824-04","2018-06-05 06:07:36.824-04"
518,,"2017-12-29T01:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",99,"583ecb3a-fb46-11e1-82cb-f4ce4684ea4c","HOU",98,"2018-06-05 06:07:36.826-04","2018-06-05 06:07:36.826-04"
614,,"2018-01-11T20:00:00+00:00","583ec87d-fb46-11e1-82cb-f4ce4684ea4c","PHI",103,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",114,"2018-06-05 06:07:36.833-04","2018-06-05 06:07:36.833-04"
468,,"2017-12-22T01:00:00+00:00","583ec70e-fb46-11e1-82cb-f4ce4684ea4c","NYK",102,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",93,"2018-06-05 06:07:36.821-04","2018-06-05 06:07:36.821-04"
579,,"2018-01-06T23:00:00+00:00","583ec9d6-fb46-11e1-82cb-f4ce4684ea4c","BKN",85,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",87,"2018-06-05 06:07:36.831-04","2018-06-05 06:07:36.831-04"
683,,"2018-01-21T18:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",95,"583ed157-fb46-11e1-82cb-f4ce4684ea4c","ORL",103,"2018-06-05 06:07:36.836-04","2018-06-05 06:07:36.836-04"
559,,"2018-01-04T01:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",102,"583ec773-fb46-11e1-82cb-f4ce4684ea4c","CLE",88,"2018-06-05 06:07:36.828-04","2018-06-05 06:07:36.828-04"
650,,"2018-01-17T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",113,"583ecc9a-fb46-11e1-82cb-f4ce4684ea4c","NOP",116,"2018-06-05 06:07:36.835-04","2018-06-05 06:07:36.835-04"
664,,"2018-01-19T00:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",80,"583ec87d-fb46-11e1-82cb-f4ce4684ea4c","PHI",89,"2018-06-05 06:07:36.836-04","2018-06-05 06:07:36.836-04"
743,,"2018-01-30T02:00:00+00:00","583ed102-fb46-11e1-82cb-f4ce4684ea4c","DEN",110,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",111,"2018-06-05 06:07:36.841-04","2018-06-05 06:07:36.841-04"
759,,"2018-02-01T01:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",103,"583ec70e-fb46-11e1-82cb-f4ce4684ea4c","NYK",73,"2018-06-05 06:07:36.842-04","2018-06-05 06:07:36.842-04"
768,,"2018-02-03T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",119,"583ecb8f-fb46-11e1-82cb-f4ce4684ea4c","ATL",110,"2018-06-05 06:07:36.843-04","2018-06-05 06:07:36.843-04"
820,,"2018-02-10T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",91,"583ec7cd-fb46-11e1-82cb-f4ce4684ea4c","IND",97,"2018-06-05 06:07:36.846-04","2018-06-05 06:07:36.846-04"
875,,"2018-02-24T00:00:00+00:00","583ec928-fb46-11e1-82cb-f4ce4684ea4c","DET",98,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",110,"2018-06-05 06:07:36.85-04","2018-06-05 06:07:36.85-04"
700,,"2018-01-24T03:30:00+00:00","583ecae2-fb46-11e1-82cb-f4ce4684ea4c","LAL",108,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",107,"2018-06-05 06:07:36.837-04","2018-06-05 06:07:36.837-04"
784,,"2018-02-04T17:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",97,"583ed056-fb46-11e1-82cb-f4ce4684ea4c","POR",96,"2018-06-05 06:07:36.844-04","2018-06-05 06:07:36.844-04"
813,,"2018-02-09T01:00:00+00:00","583ec8d4-fb46-11e1-82cb-f4ce4684ea4c","WAS",104,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",110,"2018-06-05 06:07:36.846-04","2018-06-05 06:07:36.846-04"
709,,"2018-01-25T03:30:00+00:00","583ecdfb-fb46-11e1-82cb-f4ce4684ea4c","LAC",102,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",113,"2018-06-05 06:07:36.838-04","2018-06-05 06:07:36.838-04"
728,,"2018-01-28T01:30:00+00:00","583ec825-fb46-11e1-82cb-f4ce4684ea4c","GSW",109,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",105,"2018-06-05 06:07:36.839-04","2018-06-05 06:07:36.839-04"
800,,"2018-02-07T00:30:00+00:00","583ecda6-fb46-11e1-82cb-f4ce4684ea4c","TOR",111,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",91,"2018-06-05 06:07:36.845-04","2018-06-05 06:07:36.845-04"
835,,"2018-02-11T20:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",99,"583ec773-fb46-11e1-82cb-f4ce4684ea4c","CLE",121,"2018-06-05 06:07:36.847-04","2018-06-05 06:07:36.847-04"
1001,,"2018-03-11T23:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",97,"583ec7cd-fb46-11e1-82cb-f4ce4684ea4c","IND",99,"2018-06-05 06:07:36.858-04","2018-06-05 06:07:36.858-04"
861,,"2018-02-15T01:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",119,"583ecdfb-fb46-11e1-82cb-f4ce4684ea4c","LAC",129,"2018-06-05 06:07:36.849-04","2018-06-05 06:07:36.849-04"
887,,"2018-02-25T00:30:00+00:00","583ec70e-fb46-11e1-82cb-f4ce4684ea4c","NYK",112,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",121,"2018-06-05 06:07:36.85-04","2018-06-05 06:07:36.85-04"
901,,"2018-02-27T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",109,"583eca88-fb46-11e1-82cb-f4ce4684ea4c","MEM",98,"2018-06-05 06:07:36.851-04","2018-06-05 06:07:36.851-04"
917,,"2018-03-01T00:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",134,"583ec97e-fb46-11e1-82cb-f4ce4684ea4c","CHA",106,"2018-06-05 06:07:36.852-04","2018-06-05 06:07:36.852-04"
955,,"2018-03-06T01:00:00+00:00","583ec5fd-fb46-11e1-82cb-f4ce4684ea4c","CHI",89,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",105,"2018-06-05 06:07:36.854-04","2018-06-05 06:07:36.854-04"
1032,,"2018-03-16T23:00:00+00:00","583ed157-fb46-11e1-82cb-f4ce4684ea4c","ORL",83,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",92,"2018-06-05 06:07:36.86-04","2018-06-05 06:07:36.86-04"
1110,,"2018-03-27T02:00:00+00:00","583ecfa8-fb46-11e1-82cb-f4ce4684ea4c","PHX",94,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",102,"2018-06-05 06:07:36.875-04","2018-06-05 06:07:36.875-04"
941,,"2018-03-04T01:30:00+00:00","583ecb3a-fb46-11e1-82cb-f4ce4684ea4c","HOU",123,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",120,"2018-06-05 06:07:36.853-04","2018-06-05 06:07:36.853-04"
976,,"2018-03-09T01:00:00+00:00","583eca2f-fb46-11e1-82cb-f4ce4684ea4c","MIN",109,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",117,"2018-06-05 06:07:36.856-04","2018-06-05 06:07:36.856-04"
1049,,"2018-03-18T22:00:00+00:00","583ecc9a-fb46-11e1-82cb-f4ce4684ea4c","NOP",108,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",89,"2018-06-05 06:07:36.861-04","2018-06-05 06:07:36.861-04"
1061,,"2018-03-21T00:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",100,"583ecfff-fb46-11e1-82cb-f4ce4684ea4c","OKC",99,"2018-06-05 06:07:36.862-04","2018-06-05 06:07:36.862-04"
1089,,"2018-03-24T02:00:00+00:00","583ed056-fb46-11e1-82cb-f4ce4684ea4c","POR",100,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",105,"2018-06-05 06:07:36.864-04","2018-06-05 06:07:36.864-04"
1019,,"2018-03-15T00:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",124,"583ec8d4-fb46-11e1-82cb-f4ce4684ea4c","WAS",125,"2018-06-05 06:07:36.86-04","2018-06-05 06:07:36.86-04"
1101,,"2018-03-25T22:00:00+00:00","583ed0ac-fb46-11e1-82cb-f4ce4684ea4c","SAC",93,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",104,"2018-06-05 06:07:36.865-04","2018-06-05 06:07:36.865-04"
1124,,"2018-03-29T01:30:00+00:00","583ece50-fb46-11e1-82cb-f4ce4684ea4c","UTA",94,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",97,"2018-06-05 06:07:36.875-04","2018-06-05 06:07:36.875-04"
1176,,"2018-04-05T00:00:00+00:00","583ecda6-fb46-11e1-82cb-f4ce4684ea4c","TOR",96,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",78,"2018-06-05 06:07:36.878-04","2018-06-05 06:07:36.878-04"
1190,,"2018-04-06T23:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",111,"583ec5fd-fb46-11e1-82cb-f4ce4684ea4c","CHI",104,"2018-06-05 06:07:36.879-04","2018-06-05 06:07:36.879-04"
1218,,"2018-04-11T00:00:00+00:00","583ec8d4-fb46-11e1-82cb-f4ce4684ea4c","WAS",113,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",101,"2018-06-05 06:07:36.883-04","2018-06-05 06:07:36.883-04"
1201,,"2018-04-08T17:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",106,"583ecb8f-fb46-11e1-82cb-f4ce4684ea4c","ATL",112,"2018-06-05 06:07:36.881-04","2018-06-05 06:07:36.881-04"
1143,,"2018-03-31T23:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",110,"583ecda6-fb46-11e1-82cb-f4ce4684ea4c","TOR",99,"2018-06-05 06:07:36.876-04","2018-06-05 06:07:36.876-04"
1166,,"2018-04-04T00:00:00+00:00","583ecefd-fb46-11e1-82cb-f4ce4684ea4c","MIL",106,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",102,"2018-06-05 06:07:36.878-04","2018-06-05 06:07:36.878-04"
1229,,"2018-04-12T00:00:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",110,"583ec9d6-fb46-11e1-82cb-f4ce4684ea4c","BKN",97,"2018-06-05 06:07:36.884-04","2018-06-05 06:07:36.884-04"
1,,"2017-10-18T00:00:00+00:00","583ec773-fb46-11e1-82cb-f4ce4684ea4c","CLE",102,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",99,"2018-06-05 06:07:36.752-04","2018-06-05 06:07:36.752-04"
80,,"2017-10-29T00:00:00+00:00","583ecea6-fb46-11e1-82cb-f4ce4684ea4c","MIA",90,"583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",96,"2018-06-05 06:07:36.762-04","2018-06-05 06:07:36.762-04"
188,,"2017-11-12T20:30:00+00:00","583eccfa-fb46-11e1-82cb-f4ce4684ea4c","BOS",95,"583ecda6-fb46-11e1-82cb-f4ce4684ea4c","TOR",94,"2018-06-05 06:07:36.782-04","2018-06-05 06:07:36.782-04"
